model,family,artifact_path,metrics_path,test_predictions_path,train_wape,val_wape,test_wape,train_mape,val_mape,test_mape,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_smape,val_smape,test_smape,train_bias,val_bias,test_bias,val_mape_coverage,test_mape_coverage
transformer,dl,artifacts/transformer/model.pt,artifacts/transformer/metrics.json,artifacts/transformer/test_predictions.csv,,0.26481818436559956,0.26903910418411375,,0.5470421620079345,0.5446528270776463,,16.445499388548754,16.790903522402438,,25.116563064698976,25.71218830111244,,0.2898262935410541,0.2935902739296448,,0.02258996014637133,0.027486848420025897,0.9965850882185544,0.997367672168469
lstm,dl,artifacts/lstm/model.pt,artifacts/lstm/metrics.json,artifacts/lstm/test_predictions.csv,,0.26504357189290245,0.268433476962439,,0.538369725692692,0.5179680389858937,,16.45949620093279,16.75310593799359,,25.185715248692283,25.77182756633596,,0.28927043505484357,0.29128426521140943,,0.012060747169844864,-0.004483959586788912,0.9965850882185544,0.997367672168469
xgboost,ml,artifacts/xgboost/model.joblib,artifacts/xgboost/metrics.json,artifacts/xgboost/test_predictions.csv,0.2644098914179538,0.271577695715319,0.2705645543063266,0.5538995385797258,0.5395417683289396,0.5225666907651784,15.63848491228518,16.86527244920546,16.886107845610358,23.53424183694447,25.826005934512718,25.949435970730832,0.28943902285431433,0.29503147425310683,0.29342542660846826,-3.1175848618934225e-06,-0.004551522744970748,-0.004161354573690046,0.9965850882185544,0.997367672168469
catboost,ml,artifacts/catboost/model.joblib,artifacts/catboost/metrics.json,artifacts/catboost/test_predictions.csv,0.26638241217292163,0.2719285052649274,0.2683292350008078,0.5608413882849559,0.5461160248024421,0.5283379446323823,15.755149367991846,16.887058106589237,16.746600130125827,23.974153091727505,25.94025577771981,25.692076087181732,0.2895465776937084,0.29459353736800664,0.29131605805241273,0.007787391977202822,0.0014165760446802613,0.009929522212353064,0.9965850882185544,0.997367672168469
lightgbm,ml,artifacts/lightgbm/model.joblib,artifacts/lightgbm/metrics.json,artifacts/lightgbm/test_predictions.csv,0.2659105955413617,0.2720781171150971,0.27089788548830884,0.5602171465093163,0.5457889216827471,0.5328974427094085,15.727243841332285,16.89634916640214,16.906911259057058,23.949439491711235,25.964801175043164,26.084139342750547,0.28914489084887407,0.29401712771374516,0.2926633635146441,0.00763581423314625,0.001913283763536847,0.01263377506067255,0.9965850882185544,0.997367672168469
