selection_rank,selection_metric,model,train_wape,train_mape,val_wape,val_mape,val_mape_coverage,val_mae,val_rmse,val_smape,val_bias,val_underforecast_margin_risk,val_overforecast_purchase_cost,test_wape,test_mape,test_mae,test_rmse,test_smape,test_bias,test_underforecast_margin_risk,test_overforecast_purchase_cost,metrics_path
1,wape,transformer,,,0.26481818436559956,0.5470421620079345,0.9965850882185544,16.445499388548754,25.116563064698976,0.2898262935410541,0.02258996014637133,311802.7843839264,575078.93052454,0.26903910418411375,0.5446528270776463,16.790903522402438,25.71218830111244,0.2935902739296448,0.027486848420025897,305194.9959288406,598019.7622036553,artifacts/transformer/metrics.json
2,wape,lstm,,,0.26504357189290245,0.538369725692692,0.9965850882185544,16.45949620093279,25.185715248692283,0.28927043505484357,0.012060747169844864,326620.4222618294,554054.3486572074,0.268433476962439,0.5179680389858937,16.75310593799359,25.77182756633596,0.29128426521140943,-0.004483959586788912,355116.47646850586,515742.9234241485,artifacts/lstm/metrics.json
3,wape,xgboost,0.2644098914179538,0.5538995385797258,0.271577695715319,0.5395417683289396,0.9965850882185544,16.86527244920546,25.826005934512718,0.29503147425310683,-0.004551522744970748,350717.1136015844,537889.0635617161,0.2705645543063266,0.5225666907651784,16.886107845610358,25.949435970730832,0.29342542660846826,-0.004161354573690046,358385.25155951024,521122.46319110866,artifacts/xgboost/metrics.json
4,wape,catboost,0.26638241217292163,0.5608413882849559,0.2719285052649274,0.5461160248024421,0.9965850882185544,16.887058106589237,25.94025577771981,0.29459353736800664,0.0014165760446802613,339407.3036594922,554190.1986685278,0.2683292350008078,0.5283379446323823,16.746600130125827,25.692076087181732,0.29131605805241273,0.009929522212353064,335747.7156696502,547066.7012014715,artifacts/catboost/metrics.json
5,wape,lightgbm,0.2659105955413617,0.5602171465093163,0.2720781171150971,0.5457889216827471,0.9965850882185544,16.89634916640214,25.964801175043164,0.29401712771374516,0.001913283763536847,338143.07790559984,556099.1416263771,0.27089788548830884,0.5328974427094085,16.906911259057058,26.084139342750547,0.2926633635146441,0.01263377506067255,333440.7387101598,559578.379030464,artifacts/lightgbm/metrics.json
