overall_rank,model,family,artifact_path,metrics_path,test_predictions_path,train_wape,val_wape,test_wape,train_mape,val_mape,test_mape,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_smape,val_smape,test_smape,train_bias,val_bias,test_bias,val_mape_coverage,test_mape_coverage
1,transformer,dl,artifacts_v2/transformer/model.pt,artifacts_v2/transformer/metrics.json,artifacts_v2/transformer/test_predictions.csv,,0.26542026844615046,0.27470886277075995,,0.533587087968122,0.5728066212327395,,16.48288946960484,17.144756802253312,,25.167309512217482,26.36444892070357,,0.29454603668852164,0.29686556524798974,,0.00929087004778293,0.07317062288759306,0.9965850882185544,0.997367672168469
2,catboost,ml,artifacts_v2/catboost/model.joblib,artifacts_v2/catboost/metrics.json,artifacts_v2/catboost/test_predictions.csv,0.26638241217292163,0.2719285052649274,0.2683292350008078,0.5608413882849559,0.5461160248024421,0.5283379446323823,15.755149367991846,16.887058106589237,16.746600130125827,23.974153091727505,25.94025577771981,25.692076087181732,0.2895465776937084,0.29459353736800664,0.29131605805241273,0.007787391977202822,0.0014165760446802613,0.009929522212353064,0.9965850882185544,0.997367672168469
3,tide,darts,artifacts_v2/tide/model.pt,artifacts_v2/tide/metrics.json,artifacts_v2/tide/test_predictions.csv,,0.2762215217488227,0.2694243269717083,,0.5534530258312362,0.5262837112109398,,17.153659133743247,16.81494552432906,,26.36774259037493,25.848674128330618,,0.3003287253472482,0.2940346351651045,,0.032864665580080096,-2.2462986634403944e-05,0.9965850882185544,0.997367672168469
