baseline,split,origin,rows,wape,mape,mae,rmse,bias,actual_units,predicted_units,bias_pct
seasonal_naive,validation,2023-12-03,14056,0.4306701966907742,0.6911980248378322,26.74509106431417,41.892194521972925,-0.012765596699710044,872893.0,861750.0,-1.2766
naive_last_value,validation,2023-12-03,14056,0.4817005062476157,0.8341119465778394,29.914129197495733,45.16634577372933,0.12977650181637382,872893.0,986174.0,12.9777
moving_average_28,validation,2023-12-03,14056,0.3172167559074087,0.5741094348938589,19.699508090088628,30.978394859071642,-0.018678119769547925,872893.0,856589.0,-1.8678
seasonal_naive,test,2023-12-17,14056,0.42400745972614234,0.6910510002976396,26.46257825839499,41.21067829691134,-0.002498734673591384,877244.0,875052.0,-0.2499
naive_last_value,test,2023-12-17,14056,0.49378736132706524,0.8436432534194802,30.817586795674444,47.14163409703407,0.1688583791966659,877244.0,1025374.0,16.8858
moving_average_28,test,2023-12-17,14056,0.31183334234423776,0.5638700097602917,19.461719448735668,30.93203796372355,-0.015542426052500783,877244.0,863609.5,-1.5542
