rank,model,family,val_wape,val_mape,test_wape,test_mape,test_mae,test_rmse,vali_bias_pct,test_bias_pct,test_actual_units,test_pred_units
1,transformer,dl,0.26542,0.533587,0.274709,0.572807,17.144757,26.364449,0.929087,7.317062,877244,941432.489904
2,lstm,dl,0.266173,0.534046,0.267337,0.513374,16.684658,25.748968,0.42961,-1.104371,877244,867555.971672
3,catboost,ml,0.271929,0.546116,0.268329,0.528338,16.7466,25.692076,0.141658,0.992952,877244,885954.613784
4,xgboost,ml,0.272134,0.535798,0.271357,0.51994,16.935537,26.166589,-1.452351,-1.272883,877244,866077.708456
5,lightgbm,ml,0.272172,0.544658,0.270395,0.530404,16.8755,25.982187,0.060611,0.861481,877244,884801.290855
6,tide,darts,0.276222,0.553453,0.269424,0.526284,16.814946,25.848674,3.286467,-0.002246,877244,877224.29448
