model,family,artifact_path,metrics_path,test_predictions_path,train_wape,val_wape,test_wape,train_mape,val_mape,test_mape,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_smape,val_smape,test_smape,train_bias,val_bias,test_bias,val_mape_coverage,test_mape_coverage
transformer,dl,artifacts_v2/transformer/model.pt,artifacts_v2/transformer/metrics.json,artifacts_v2/transformer/test_predictions.csv,,0.26542026844615046,0.27470886277075995,,0.533587087968122,0.5728066212327395,,16.48288946960484,17.144756802253312,,25.167309512217482,26.36444892070357,,0.29454603668852164,0.29686556524798974,,0.00929087004778293,0.07317062288759306,0.9965850882185544,0.997367672168469
lstm,dl,artifacts_v2/lstm/model.pt,artifacts_v2/lstm/metrics.json,artifacts_v2/lstm/test_predictions.csv,,0.2661729360682359,0.26733674659998435,,0.5340457603717111,0.5133735463213313,,16.529630953572187,16.684658290719742,,25.338544764682,25.748967644082036,,0.2924434235931543,0.29045147217070666,,0.004296099336338343,-0.011043709991680644,0.9965850882185544,0.997367672168469
catboost,ml,artifacts_v2/catboost/model.joblib,artifacts_v2/catboost/metrics.json,artifacts_v2/catboost/test_predictions.csv,0.26638241217292163,0.2719285052649274,0.2683292350008078,0.5608413882849559,0.5461160248024421,0.5283379446323823,15.755149367991846,16.887058106589237,16.746600130125827,23.974153091727505,25.94025577771981,25.692076087181732,0.2895465776937084,0.29459353736800664,0.29131605805241273,0.007787391977202822,0.0014165760446802613,0.009929522212353064,0.9965850882185544,0.997367672168469
xgboost,ml,artifacts_v2/xgboost/model.joblib,artifacts_v2/xgboost/metrics.json,artifacts_v2/xgboost/test_predictions.csv,0.25842069834645376,0.2721339521561223,0.2713565519341113,0.5456477382388322,0.5357975182661051,0.5199402149329215,15.284254951434875,16.899816583623654,16.935536926927117,22.774800218570757,25.915125470715118,26.16658899943651,0.2861731815432976,0.29543294896099065,0.2937176823700049,2.712140970327625e-06,-0.014523506219177999,-0.012728832196374204,0.9965850882185544,0.997367672168469
lightgbm,ml,artifacts_v2/lightgbm/model.joblib,artifacts_v2/lightgbm/metrics.json,artifacts_v2/lightgbm/test_predictions.csv,0.26366881939370485,0.2721721001829882,0.27039458368640895,0.5572141369361842,0.5446580033086499,0.5304037085766289,15.594654314239158,16.902185617887675,16.8754998699061,23.787680671412392,25.941971605093553,25.982186629535736,0.28701128847404817,0.2943763826630374,0.29232352727657124,0.007435583470907122,0.0006061071714169997,0.008614810537323846,0.9965850882185544,0.997367672168469
tide,darts,artifacts_v2/tide/model.pt,artifacts_v2/tide/metrics.json,artifacts_v2/tide/test_predictions.csv,,0.2762215217488227,0.2694243269717083,,0.5534530258312362,0.5262837112109398,,17.153659133743247,16.81494552432906,,26.36774259037493,25.848674128330618,,0.3003287253472482,0.2940346351651045,,0.032864665580080096,-2.2462986634403944e-05,0.9965850882185544,0.997367672168469
