selection_rank,selection_metric,model,train_wape,train_mape,val_wape,val_mape,val_mape_coverage,val_mae,val_rmse,val_smape,val_bias,val_underforecast_margin_risk,val_overforecast_purchase_cost,test_wape,test_mape,test_mae,test_rmse,test_smape,test_bias,test_underforecast_margin_risk,test_overforecast_purchase_cost,metrics_path
1,wape,transformer,,,0.26542026844615046,0.533587087968122,0.9965850882185544,16.48288946960484,25.167309512217482,0.29454603668852164,0.00929087004778293,340463.78766078944,534709.1088043023,0.27470886277075995,0.5728066212327395,17.144756802253312,26.36444892070357,0.29686556524798974,0.07317062288759306,266152.60717382433,674925.1247324753,artifacts_v2/transformer/metrics.json
2,wape,lstm,,,0.2661729360682359,0.5340457603717111,0.9965850882185544,16.529630953572187,25.338544764682,0.2924434235931543,0.004296099336338343,330204.8701389122,549145.7531963348,0.26733674659998435,0.5133735463213313,16.684658290719742,25.748967644082036,0.29045147217070666,-0.011043709991680644,359071.724383316,504873.62606157304,artifacts_v2/lstm/metrics.json
3,wape,catboost,0.26638241217292163,0.5608413882849559,0.2719285052649274,0.5461160248024421,0.9965850882185544,16.887058106589237,25.94025577771981,0.29459353736800664,0.0014165760446802613,339407.3036594922,554190.1986685278,0.2683292350008078,0.5283379446323823,16.746600130125827,25.692076087181732,0.29131605805241273,0.009929522212353064,335747.7156696502,547066.7012014715,artifacts_v2/catboost/metrics.json
4,wape,xgboost,0.25842069834645376,0.5456477382388322,0.2721339521561223,0.5357975182661051,0.9965850882185544,16.899816583623654,25.915125470715118,0.29543294896099065,-0.014523506219177999,362455.72906546114,520789.3574966622,0.2713565519341113,0.5199402149329215,16.935536926927117,26.16658899943651,0.2937176823700049,-0.012728832196374204,365537.9489844942,510723.51976005075,artifacts_v2/xgboost/metrics.json
5,wape,lightgbm,0.26366881939370485,0.5572141369361842,0.2721721001829882,0.5446580033086499,0.9965850882185544,16.902185617887675,25.941971605093553,0.2943763826630374,0.0006061071714169997,341512.14099821314,550870.6979712325,0.27039458368640895,0.5304037085766289,16.8754998699061,25.982186629535736,0.29232352727657124,0.008614810537323846,340226.1862508089,548178.2049885368,artifacts_v2/lightgbm/metrics.json
6,wape,tide,,,0.2762215217488227,0.5534530258312362,0.9965850882185544,17.153659133743247,26.36774259037493,0.3003287253472482,0.032864665580080096,312340.8613431108,624924.3496822771,0.2694243269717083,0.5262837112109398,16.81494552432906,25.848674128330618,0.2940346351651045,-2.2462986634403944e-05,350080.0177410302,529008.8669357056,artifacts_v2/tide/metrics.json
